"ticker","market","price","above_cloud","bull_cloud","MA50_diff","RS_1m","RS_3m","Momentum","TrendLabel","updated_at"
"GE","US",339.809997558594,TRUE,TRUE,6.50261008483819,9.59843334821704,16.3864827673811,70.6852791878173,"Trend intact","2026-03-05"
"NEM","US",119.370002746582,TRUE,TRUE,2.68140042431248,5.61684463736851,26.2288874550884,70.6852791878173,"Trend intact","2026-03-05"
"CAT","US",731.969970703125,TRUE,TRUE,8.92916079422764,5.77299590952558,25.3512446842894,70.5583756345178,"Trend intact","2026-03-05"
"DLR","US",182.619995117188,TRUE,TRUE,10.3225434056904,10.079554231026,15.5054580905267,70.3045685279188,"Trend intact","2026-03-05"
"HII","US",437.029998779297,TRUE,TRUE,8.39080623918977,3.90331268642425,35.4294827663556,70.3045685279188,"Trend intact","2026-03-05"
"SSE","UK",2653,TRUE,TRUE,9.33803710816759,8.57443186210496,17.5035686880372,69.7969543147208,"Monitor","2026-03-05"
"BKR","US",60.8800010681152,TRUE,TRUE,10.5337518343507,7.55494269870454,19.3686837815388,69.7969543147208,"Monitor","2026-03-05"
"DD","US",48.0800018310547,TRUE,TRUE,5.65315059446296,7.89514044939468,18.6239413073109,69.6700507614213,"Monitor","2026-03-05"
"DELL","US",147.100006103516,TRUE,TRUE,19.8003750014819,21.0645510521891,10.7629188388257,69.0355329949239,"Monitor","2026-03-05"
"HAL","US",34.4300003051758,TRUE,TRUE,4.8499584241748,4.75854989267663,25.6889917902836,68.4010152284264,"Monitor","2026-03-05"
"CVX","US",186.029998779297,TRUE,TRUE,8.96636833728223,6.6680253336278,19.8481131745758,68.1472081218274,"Monitor","2026-03-05"
"EMG","UK",272.200012207031,TRUE,TRUE,5.49897372147354,3.9720492148656,28.3527155924773,67.8934010152284,"Monitor","2026-03-05"
"CCEP","US",104.529998779297,TRUE,TRUE,9.89091795110108,12.5514002403376,12.4104964250429,67.8934010152284,"Monitor","2026-03-05"
"DGX","US",208.449996948242,TRUE,TRUE,9.80692288145628,11.9343364608242,12.6014190730277,67.7664974619289,"Monitor","2026-03-05"
"CKN","UK",4480,TRUE,TRUE,9.29761643367734,6.93117998902295,18.859116980755,67.258883248731,"Monitor","2026-03-05"
"KLAC","US",1475.91003417969,TRUE,TRUE,3.11162038233655,4.53660040775876,24.3288714579093,66.6243654822335,"Monitor","2026-03-05"
"EXR","US",150.360000610352,TRUE,TRUE,6.77036131198283,10.6277281718555,13.0685130456608,66.497461928934,"Monitor","2026-03-05"
"HLMA","UK",4022,TRUE,TRUE,8.27079003757981,12.5959083698444,11.8093874613223,66.497461928934,"Monitor","2026-03-05"
"DTE","US",150.110000610352,TRUE,TRUE,9.99068040703062,12.154574395692,11.8991185087793,66.243654822335,"Monitor","2026-03-05"
"GSK","UK",2115,TRUE,TRUE,6.48796157370578,8.35357990557695,15.0767912962256,66.1167512690355,"Monitor","2026-03-05"
"SSPG","UK",190.199996948242,TRUE,TRUE,-2.18766561271943,4.02306873859901,25.0863860302181,65.8629441624365,"Monitor","2026-03-05"
"DOV","US",221.839996337891,TRUE,TRUE,4.25438921553832,6.76928561500461,18.2195334458536,65.736040609137,"Monitor","2026-03-05"
"ITW","US",287.170013427734,TRUE,TRUE,6.01052799105342,8.33302125083204,14.8704222304821,65.6091370558376,"Monitor","2026-03-05"
"IFF","US",78.1900024414062,TRUE,TRUE,6.44090950230715,11.422437265897,12.1129929787511,65.6091370558376,"Monitor","2026-03-05"
"CME","US",320,TRUE,TRUE,10.4177028610857,9.57884569260985,13.7145091912159,65.3553299492386,"Monitor","2026-03-05"
"GLEN","UK",528.400024414062,TRUE,TRUE,10.1544798545024,2.12306654400383,38.2777820543728,65.2284263959391,"Monitor","2026-03-05"
"MO","US",68.120002746582,TRUE,TRUE,8.66305895108273,9.04337048891168,14.1363392010368,65.2284263959391,"Monitor","2026-03-05"
"FANG","US",176.710006713867,TRUE,TRUE,10.8611454954898,10.7872528449525,12.3628862697876,64.8477157360406,"Monitor","2026-03-05"
"CCEP","UK",7760,TRUE,TRUE,10.3903493797656,13.5005232242822,10.1644633148629,64.2131979695431,"Monitor","2026-03-05"
